Year,Month,Predicted Rainfall (mm)
2026,Jan,38.70741000000002
2026,Feb,61.4390799999999
2026,Mar,100.82693999999998
2026,Apr,101.94648999999994
2026,May,35.719050000000095
2026,Jun,35.93256000000005
2026,Jul,111.55016999999998
2026,Aug,112.35708999999996
2026,Sep,49.15210000000004
2026,Oct,25.49199999999998
2026,Nov,14.281929999999981
2026,Dec,6.870299999999999
2027,Jan,38.70741000000002
2027,Feb,61.4390799999999
2027,Mar,100.82693999999998
2027,Apr,101.94648999999994
2027,May,35.719050000000095
2027,Jun,35.93256000000005
2027,Jul,111.55016999999998
2027,Aug,112.35708999999996
2027,Sep,49.15210000000004
2027,Oct,25.49199999999998
2027,Nov,14.281929999999981
2027,Dec,6.870299999999999
2028,Jan,38.70741000000002
2028,Feb,61.4390799999999
2028,Mar,100.82693999999998
2028,Apr,101.94648999999994
2028,May,35.719050000000095
2028,Jun,35.93256000000005
2028,Jul,111.55016999999998
2028,Aug,112.35708999999996
2028,Sep,49.15210000000004
2028,Oct,25.49199999999998
2028,Nov,14.281929999999981
2028,Dec,6.870299999999999
